4000000,"Cannon Group, The",USA,Sam Firstenberg,Action,4679650,Avenging Force,R,12/9/1986,104,5.9,Michael Dudikoff,1808,James Booth,1986,679650,Sep,16.99125,317.576579,11147.55249,0.000162607
18000000,Rastar Pictures,USA,Gene Saks,Comedy,11957943,Brighton Beach Memoirs,PG-13,25/12/1986,108,6.9,Blythe Danner,2720,Neil Simon,1986,-6042057,Dec,-33.56698333,317.576579,11147.55249,9.23346E-05
25000000,De Laurentiis Entertainment Group (DEG),USA,Daryl Duke,Adventure,4007250,Tai-Pan,R,7/11/1986,127,5.5,Bryan Brown,1340,John Briley,1986,-20992750,Nov,-83.971,317.576579,11147.55249,2.22764E-05
17000000,Escalante Productions,USA,Dick Richards,Action,2793214,Heat,R,13/03/1987,101,5.5,Burt Reynolds,1358,William Goldman,1986,-14206786,Mar,-83.56932941,317.576579,11147.55249,2.28347E-05
14000000,Columbia Pictures Corporation,USA,Richard Pryor,Biography,18034150,"Jo Jo Dancer, Your Life Is Calling",R,2/5/1986,97,6.3,Richard Pryor,1288,Rocco Urbisci,1986,4034150,May,28.81535714,317.576579,11147.55249,0.000179042
3401376,Cinema Group Ventures,USA,Renny Harlin,Action,3388020,Born American,R,29/08/1986,97,4.3,Mike Norris,1509,Renny Harlin,1986,-13356,Aug,-0.392664616,317.576579,11147.55249,0.000138445
10000000,Paramount Pictures,USA,Michelle Manning,Action,6947787,Blue City,R,2/5/1986,83,4.4,Judd Nelson,792,Ross Macdonald,1986,-3052213,May,-30.52213,317.576579,11147.55249,9.65668E-05
2000000,American Playhouse,USA,Jerrold Freedman,Drama,1301121,Native Son,PG,12/12/1986,111,5.9,Victor Love,448,Richard Wesley,1986,-698879,Dec,-34.94395,317.576579,11147.55249,9.04207E-05
18000000,J&M; Entertainment,UK,Zoran Perisic,Action,2295500,Sky Bandits,PG,31/10/1986,100,4.6,Scott McGinnis,183,Thom Keyes,1986,-15704500,Oct,-87.24722222,317.576579,11147.55249,1.77227E-05
1500000,Cinetel Films,USA,Fred Olen Ray,Action,1368912,Armed Response,R,3/10/1986,86,4.9,David Carradine,489,T.L. Lankford,1986,-131088,Oct,-8.7392,317.576579,11147.55249,0.000126844
16000000,Act III Communications,USA,Rob Reiner,Adventure,30857814,The Princess Bride,PG,9/10/1987,98,8.1,Cary Elwes,320953,William Goldman,1987,14857814,Oct,92.8613375,317.576579,11147.55249,0.000268062
1000000,Cinemarque Entertainment BV,UK,Clive Barker,Horror,14564027,Hellraiser,R,18/09/1987,94,7,Andrew Robinson,83209,Clive Barker,1987,13564027,Sep,1356.4027,317.576579,11147.55249,0.0020243
30000000,Natant,UK,Stanley Kubrick,Drama,46357676,Full Metal Jacket,R,10/7/1987,116,8.3,Matthew Modine,537826,Gustav Hasford,1987,16357676,Jul,54.52558667,317.576579,11147.55249,0.000214777
6000000,Great American Films Limited Partnership,USA,Emile Ardolino,Drama,63952836,Dirty Dancing,PG-13,21/08/1987,100,6.9,Patrick Swayze,155978,Eleanor Bergstein,1987,57952836,Aug,965.8806,317.576579,11147.55249,0.001481501
15000000,Amercent Films,USA,John McTiernan,Action,59735548,Predator,R,12/6/1987,107,7.8,Arnold Schwarzenegger,313213,Jim Thomas,1987,44735548,Jun,298.2369867,317.576579,11147.55249,0.00055352
27000000,Braveworld Productions,USA,Paul Michael Glaser,Action,38122105,The Running Man,R,13/11/1987,101,6.6,Arnold Schwarzenegger,120345,Stephen King,1987,11122105,Nov,41.19298148,317.576579,11147.55249,0.000196246
22700000,Brooksfilms,USA,Mel Brooks,Adventure,38119483,Spaceballs,PG,24/06/1987,96,7.1,Mel Brooks,146748,Mel Brooks,1987,15419483,Jun,67.92723789,317.576579,11147.55249,0.000233405
13000000,Orion Pictures,USA,Paul Verhoeven,Action,53424681,RoboCop,R,17/07/1987,102,7.5,Peter Weller,196245,Edward Neumeier,1987,40424681,Jul,310.9590846,317.576579,11147.55249,0.000571203
15000000,Warner Bros.,USA,Richard Donner,Action,65207127,Lethal Weapon,R,6/3/1987,110,7.6,Mel Gibson,204328,Shane Black,1987,50207127,Mar,334.71418,317.576579,11147.55249,0.000604221
25000000,Paramount Pictures,USA,Brian De Palma,Crime,76270454,The Untouchables,R,3/6/1987,119,7.9,Kevin Costner,234254,Oscar Fraley,1987,51270454,Jun,205.081816,317.576579,11147.55249,0.000424041
3600000,De Laurentiis Entertainment Group (DEG),USA,Sam Raimi,Comedy,5923044,Evil Dead II,R,13/03/1987,84,7.8,Bruce Campbell,123325,Sam Raimi,1987,2323044,Mar,64.529,317.576579,11147.55249,0.000228682
22000000,Golan-Globus Productions,USA,Gary Goddard,Action,17336370,Masters of the Universe,PG,7/8/1987,106,5.4,Dolph Lundgren,30370,David Odell,1987,-4663630,Aug,-21.19831818,317.576579,11147.55249,0.000109526
12000000,Home Box Office (HBO),USA,Fred Dekker,Action,3769990,The Monster Squad,PG-13,14/08/1987,82,7.2,Andre Gower,21420,Shane Black,1987,-8230010,Aug,-68.58341667,317.576579,11147.55249,4.36641E-05
14000000,Paramount Pictures,USA,Adrian Lyne,Drama,156645693,Fatal Attraction,R,18/09/1987,119,6.9,Michael Douglas,60383,James Dearden,1987,142645693,Sep,1018.897807,317.576579,11147.55249,0.001555191
30000000,Eon Productions,UK,John Glen,Action,51185897,The Living Daylights,PG,31/07/1987,130,6.7,Timothy Dalton,74272,Richard Maibaum,1987,21185897,Jul,70.61965667,317.576579,11147.55249,0.000237147
15000000,Twentieth Century Fox Film Corporation,USA,Oliver Stone,Crime,43848100,Wall Street,R,11/12/1987,126,7.4,Charlie Sheen,126195,Stanley Weiser,1987,28848100,Dec,192.3206667,317.576579,11147.55249,0.000406304
35000000,Amblin Entertainment,USA,Steven Spielberg,Drama,22238696,Empire of the Sun,PG,25/12/1987,153,7.8,Christian Bale,96566,Tom Stoppard,1987,-12761304,Dec,-36.46086857,317.576579,11147.55249,8.83123E-05
22000000,Warner Bros.,USA,George Miller,Comedy,63766510,The Witches of Eastwick,R,12/6/1987,118,6.5,Jack Nicholson,51642,John Updike,1987,41766510,Jun,189.8477727,317.576579,11147.55249,0.000402866
