Company,Budget,Director,Profit,Star,Month,Writer,Gross
The Mount Company,7000000,Ron Shelton,43888729,Kevin Costner,6,Ron Shelton,50888729
Warner Bros.,7500000,Andrew Davis,11369631,Steven Seagal,4,Andrew Davis,18869631
De Laurentiis Entertainment Group (DEG),10000000,Julien Temple,-6083697,Geena Davis,5,Julie Brown,3916303
Walt Disney Feature Animation,31000000,George Scribner,43151346,Joey Lawrence,11,Jim Cox,74151346
Warner Bros.,31000000,Buddy Van Horn,6903295,Clint Eastwood,7,Harry Julian Fink,37903295
NBC Productions,7500000,James Signorelli,-1903733,Cassandra Peterson,9,Sam Egan,5596267
Paramount Pictures,32000000,Richard Donner,28328558,Bill Murray,11,Mitch Glazer,60328558
Cinema City Films,23000000,Robert Towne,18292551,Mel Gibson,12,Robert Towne,41292551
Warner Bros.,20000000,Roman Polanski,-2362050,Harrison Ford,2,Roman Polanski,17637950
Paramount Pictures,2800000,John Carl Buechler,16370001,Jennifer Banko,5,Daryl Haney,19170001
Twentieth Century Fox Film Corporation,8000000,Greg Beeman,14433275,Corey Haim,7,Neil Tolkin,22433275
Prominent Features,46630000,Terry Gilliam,-38546877,John Neville,3,Charles McKeown,8083123
Morgan Creek Productions,13000000,David Cronenberg,-3865267,Jeremy Irons,9,David Cronenberg,9134733
Metro-Goldwyn-Mayer (MGM),10500000,Gary Sherman,3614488,Heather O'Rourke,6,Gary Sherman,14114488
Vista Organization,7500000,Tommy Lee Wallace,-4516216,William Ragsdale,5,Tom Holland,2983784
Front Films,3000000,Keenen Ivory Wayans,10030057,Keenen Ivory Wayans,2,Keenen Ivory Wayans,13030057
Zacharias-Buhai Productions,22000000,Bud S. Smith,-4449601,Anthony Michael Hall,3,Steve Zacharias,17550399
Shapiro-Glickenhaus Entertainment,1100000,William Lustig,-428618,Tom Atkins,5,Larry Cohen,671382
Orion Pictures,10000000,Jonathan Demme,11486757,Michelle Pfeiffer,8,Barry Strugatz,21486757
Orion Pictures,6000000,Dennis Hopper,40616067,Sean Penn,4,Michael Schiffer,46616067
Vision PDG,17000000,Neil Jordan,-8421769,Peter O'Toole,11,Neil Jordan,8578231
Double Play,3000000,Sidney Lumet,-164884,River Phoenix,9,Naomi Foner,2835116
Blue Rider Pictures,1200000,Kevin Tenney,1909904,Cathy Podewell,10,Joe Augustyn,3109904
Mac and Me Joint Venture,13000000,Stewart Raffill,-6575888,Christine Ebersole,8,Stewart Raffill,6424112
New Line Cinema,4500000,Mick Garris,-686707,Scott Grimes,4,David Twohy,3813293
Weintraub Entertainment Group,20000000,Richard Benjamin,-6146000,Dan Aykroyd,12,Jerico,13854000
