Guber-Peters Company The,USA,Allan Arkush,Comedy,PG,Jackie Mason,Brian Doyle-Murray
Imagine Entertainment,USA,Ken Kwapis,Adventure,PG,Cyndi Lauper,Deborah Blum
United Artists,USA,Costa-Gavras,Drama,R,Debra Winger,Joe Eszterhas
Abramoff Production,South Africa,Joseph Zito,Action,R,Dolph Lundgren,Robert Abramoff
Aspen Film Society,USA,Paul Golding,Horror,PG-13,Cliff De Young,Paul Golding
Weintraub Entertainment Group,USA,David Anspaugh,Drama,PG-13,Molly Ringwald,Larry Ketron
Helpern / Meltzer,USA,Mark Goldblatt,Action,R,Treat Williams,Terry Black
Miracle Pictures,USA,Jim Wynorski,Comedy,R,Traci Lords,R.J. Robertson
Columbia Pictures Corporation,USA,Richard Benjamin,Drama,PG,Sidney Poitier,John Hill
Columbia Pictures Corporation,USA,David Seltzer,Comedy,R,Sally Field,David Seltzer
Hemdale,USA,Harold Becker,Drama,R,James Woods,Ben Stein
Universal Pictures,USA,Paul Mazursky,Comedy,PG-13,Richard Dreyfuss,Charles G. Booth
Touchstone Pictures,USA,John R. Cherry III,Comedy,PG,Jim Varney,Ed Turner
Atlantic Entertainment Group,USA,James B. Harris,Crime,R,James Woods,James Ellroy
Warner Bros.,USA,Joan Micklin Silver,Comedy,PG,Amy Irving,Susan Sandler
Shapiro-Glickenhaus Entertainment,USA,James Glickenhaus,Action,R,Peter Weller,James Glickenhaus
Orion Pictures,USA,Michael Ritchie,Comedy,R,Dan Aykroyd,Ken Kolb
Paramount Pictures,USA,Marisa Silver,Drama,PG-13,Alan Boyce,Jarre Fees
TriStar Pictures,Canada,Pen Densham,Drama,R,Joanna Pacula,Tom Ropelewski
Touchstone Pictures,USA,Leonard Nimoy,Drama,R,Diane Keaton,Michael Bortman
Cecchi Gori Group Tiger Cinematografica,USA,Blake Edwards,Crime,R,Bruce Willis,Rod Amateau
Cinema Group,USA,Rowdy Herrington,Crime,R,James Spader,Rowdy Herrington
HandMade Films,UK,Nicolas Roeg,Drama,R,Theresa Russell,Dennis Potter
